t_epoch,x_m,y_m,Pxx,Pxy,Pyx,Pyy
1.772659630333333254e+09,3.303115523771175344e+00,-6.455405893488078561e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630349999905e+09,3.489394025487317919e+00,-6.449763245982815363e+01,4.175995767156169069e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.184359186605438909e-06
1.772659630366666555e+09,3.622548876870378631e+00,-6.441858193199168170e+01,4.083878213468900116e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.092057145724435982e-06
1.772659630383333445e+09,3.788089031580144095e+00,-6.428927801211058579e+01,3.925140897751028889e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.933001920978963891e-06
1.772659630400000095e+09,4.020082199103652165e+00,-6.420430602373339468e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630416666746e+09,4.216458245150053408e+00,-6.411514238225908002e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630433333397e+09,4.434502483585691657e+00,-6.404126049070134741e+01,3.883968091131261282e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.891746656073590425e-06
1.772659630450000048e+09,4.635179004209808440e+00,-6.397182233500046777e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630466666698e+09,4.850321777959504033e+00,-6.389349553916089519e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630483333349e+09,5.095207372877304408e+00,-6.382449394843933277e+01,3.967195978798360234e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.975141227275166286e-06
1.772659630500000000e+09,5.335539549772861712e+00,-6.375902135902403955e+01,3.911319979096974139e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.919153322665658178e-06
1.772659630516666651e+09,5.589494349747644364e+00,-6.371196374643430715e+01,3.883968091131261282e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.891746656073590425e-06
1.772659630533333302e+09,5.843956092541431779e+00,-6.366384912965385467e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630549999952e+09,6.090050648619802942e+00,-6.361818473348937886e+01,3.883968091131261282e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.891746656073590425e-06
1.772659630566666603e+09,6.326084401057025630e+00,-6.356519321777572173e+01,4.223630699861371703e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.232089519532496886e-06
1.772659630583333254e+09,6.565509025455783743e+00,-6.353404169466126206e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630599999905e+09,6.794365629564022235e+00,-6.347519470540856190e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630616666555e+09,7.009580767808015089e+00,-6.344890403103722321e+01,4.255995686067207209e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.264519324279874723e-06
